impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-181485,A733080,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733080,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sienna,Cat,9 WEEKS,Spayed Female,Domestic Shorthair,Calico / White,"Jul 31, 2025",Received on,20200 block of  SE 206TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733080,Image Copyright HLP Inc. 2025,"Received on: 2025-07-31<p/> Found Near: 20200 block of  SE 206TH ST<p/> Description: Calico / White Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180850,A731942,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965702,LOST,Prince,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jul 10, 2025",Date Lost,5TH  AVENUE BURIEN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965702,Image Copyright HLP Inc. 2025,"Description: Prince is a Gray domestic cat with a striped print.  He is chunky, 15-20lbs. He should be wearing a sparkly blue collar with a bell. <p/>Age: Over 1 year<p/>Location Lost: 5th Avenue Burien, Seattle WA  98146<p/>Lost Date: 2025-07-10<p/>",
K25-181465,A733047,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2972737,In Public Home,Angie Dyson,Dog,Unknown<p/>,Male,Havanese,White,"Jul 30, 2025",Date Found,HWY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2972737,Image Copyright HLP Inc. 2025,"Description: Looks very much like a Havanese, but honestly could be a mix white and color with beige tinge on back of fur .. but appears mostly white .. has been groomed in the last few months, there is a microchip, but we took it to a vet, and the microchip company is obsolete<p/>Age: Unknown<p/>Found Near: HWY 410 , Enumclaw WA  98022<p/>Found Date: 2025-07-30<p/>",
K25-180560,A731552,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2962780,LOST,Michi,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jun 25, 2025",Date Lost,2900 block of  AUBURN WAY S,Auburn,,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2962780,Image Copyright HLP Inc. 2025,"Description: Tuxedo Cat, White mittens and legs and a white mustache, black spot behind her left leg and chin, 1 year old and 9 months, not yet microchipped, Shy hut friendly, weighs 3.2kg. Last seen at 2901 Auburn Way South near Sherwood Gardens Apartments neighborhood near the intersection of Dogwood St SE and Elm St SE.<p/>Age: Over 1 year<p/>Location Lost: 2901 Auburn Way South, Auburn WA  98092<p/>Lost Date: 2025-06-25<p/>",
K25-181621,A733330,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733330,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Female,Domestic Shorthair,Black / White,"Aug 04, 2025",Received on,400 block of  RAMSAY WAY,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733330,Image Copyright HLP Inc. 2025,"Received on: 2025-08-04<p/> Found Near: 400 block of  RAMSAY WAY<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181501,A733121,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733121,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bubas,Cat,1 YEAR,Male,Domestic Shorthair,Gray / White,"Aug 01, 2025",Received on,24600 block of  SE 184TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733121,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Found Near: 24600 block of  SE 184TH ST<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181603,A733256,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2974020,LOST,Jaxon,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Black,"Jul 31, 2025",Date Lost,14700 block of  SE Petrovitsky Rd,King County,,98058,KING COUNTY,47.443371,-122.14573,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2974020,Image Copyright HLP Inc. 2025,"Description: Jaxon escaped the night of 7/31. He's an indoor cat and most likely skiddish. He got out at 14700 se petrovitsky rd <p/>Age: Over 1 year<p/>Location Lost: 14700 SE Petrovitsky Rd, Apt C101, Renton WA  98058<p/>Lost Date: Jul 31 202<p/>",
K25-180970,A732177,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967280,In Public Home,,Bird,Unknown<p/>,Unknown,,White,"Jul 17, 2025",Date Found,1000 block of  SW 4TH PL,Renton,,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967280,Image Copyright HLP Inc. 2025,Description: A white and blue parakeet Found in Renton in the waterworks park. It has a band around its legs.<p/>Age: Unknown<p/>Found Near: 1000 block of  SW 4TH PL<p/>Found Date: 2025-07-17<p/>,
K25-181178,A732494,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2969626,In Public Home,Tamela Mikes,Dog,Unknown<p/>,Unknown,Alaskan Husky,White,"Jul 22, 2025",Date Found,98092 98092,,,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2969626,Image Copyright HLP Inc. 2025,"Description: 2 Huskies Found. They are a bonded pair. I’ve been able to capture one but the other is skittish. 1 has 1 eye blue and the other brown. Very heavy coats. I hope to take the one in I’ve captured for a microchip. <p/>Age: Unknown<p/>Found Near: Lake Holm Dr SE, Auburn WA  98092<p/>Found Date: 2025-07-22<p/>",
K25-181307,A732711,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970984,LOST,Abbey,Dog,Under 1 year<p/>,Female,Miniature Schnauzer,Unknown,"Jul 26, 2025",Date Lost,S300TH  PL AND 43RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970984,Image Copyright HLP Inc. 2025,"<p/>Age: Under 1 year<p/>Location Lost: S300th Pl and 43rd, Auburn WA  98001<p/>Lost Date: 2025-07-26<p/>",
K25-181432,A732983,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732983,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 WEEK,Male,Domestic Shorthair,Black,"Jul 30, 2025",Received on,800 block of  WEST VALLEY HWY S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732983,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 800 block of  WEST VALLEY HWY S<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181005,A732203,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967448,LOST,Otis,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Jul 15, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,OTHER,47.30568,-122.206719,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967448,Image Copyright HLP Inc. 2025,"Description: Tall lanky black cat. He had a long tail and is about 10lbs. He has more sparse hair in front of his ears and is 4years old.<p/>Age: Over 1 year<p/>Location Lost: 118th ave SE, Bellevue WA  98005<p/>Lost Date: 2025-07-15<p/>",
K25-180857,A731955,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965775,LOST,Buddy,Dog,Over 1 year<p/>,Male,Golden Retriever,Unknown,"Jul 13, 2025",Date Lost,CEDAR  RIVER TRAIL / LANDSBERG ISSQ HOBART RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965775,Image Copyright HLP Inc. 2025,"Description: Very long wavy chest hair. <p/>Age: Over 1 year<p/>Location Lost: Cedar River Trail / Landsberg Issq Hobart Rd, Maple Valley WA  98038<p/>Lost Date: 2025-07-13<p/>",
K25-175329,A708686,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Rosie,Dog,4 YEARS 2 MONTHS,Spayed Female,German Shepherd / Mix,Black / Brown,"Jan 03, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A708686,Image Copyright HLP Inc. 2025,"Received on: 2025-01-03<p/> Description: Black / Brown Spayed Female German Shepherd / Mix Dog<p/> Age: 4 YEARS 2 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Rosie and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 05/17/24.<p/><p/>I weigh 60.30lbs and am considered a ""large breed"" dog.<p/><p/>This is a note about me from my foster parent: ""Rosie is a nice girl!  She is a snuggle pup who wants to be with her person.  She's a mostly mellow girl who only needs a moderate amount of daily exercise.  She is friendly with other dogs, although smaller dogs may find her too rambunctious.  She does need a special diet for her allergies, and takes a daily medication.  She hopes to find a family who will buy her some fashionable pajamas and a nice raincoat - Rosie is a fair-weather girl!  She does cry when she's left alone so I don't think she'd be a good candidate for apartment living.""<p/><p/><p/>",
K25-180846,A731938,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965696,LOST,Teaka,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,White,"Jul 06, 2025",Date Lost,48TH  & S 150TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965696,Image Copyright HLP Inc. 2025,"Description: White with black patches and an all black nose. About 6 years old and neutered.<p/>Age: Over 1 year<p/>Location Lost: 48th & S 150th St, Seattle WA  98188<p/>Lost Date: 2025-07-06<p/>",
K25-180743,A731816,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964691,In Public Home,,Dog,Unknown<p/>,Unknown,Miniature Poodle,Brown,"Jul 10, 2025",Date Found,KB  HOMES JENKINS LANDING 265TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964691,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: KB homes Jenkins Landing 265th street, Kent WA  98042<p/>Found Date: 2025-07-10<p/>",
K25-181089,A732316,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968328,LOST,,Dog,Under 1 year<p/>,Male,Golden Retriever,Unknown,"Jul 06, 2025",Date Lost,12200 block of  2nd Ave NE,Seattle,,98125,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968328,Image Copyright HLP Inc. 2025,"<p/>Age: Under 1 year<p/>Location Lost: 12266 2nd Pl SW, Seattle, Seattle WA  98146<p/>Lost Date: 2025-07-06<p/>",
K25-180292,A731106,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958598,LOST,Bean,Dog,Unknown<p/>,Female,Chihuahua - Smooth Coated,Unknown,"Jun 28, 2025",Date Lost,EDMONDS  AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958598,Image Copyright HLP Inc. 2025,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",
K25-179233,A729410,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2947508,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Black,"May 30, 2025",Date Found,194TH  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2947508,Image Copyright HLP Inc. 2025,"Description: I Found a dog and I have no idea what to do, I can’t keep it at my house :( should I let it go? <p/>Age: Unknown<p/>Found Near: 194th st , Renton WA  98058<p/>Found Date: 2025-06-29<p/>",
K25-180534,A731519,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2962200,LOST,Sox,Dog,Over 1 year<p/>,Male,Pit Bull,Brown,"Jul 03, 2025",Date Lost,30900 block of  26TH AVE S,Federal Way,,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2962200,Image Copyright HLP Inc. 2025,"Description: Sox is a brown and white pit mix with an under belly with black spots white tip tail and lock like he is wearing tube socks. He has a mostly black nose with some pick with a random black sot all his toe beans are white he has a choker on that look like a normal black collar and part chain collar <p/>Age: Over 1 year<p/>Location Lost: 30921 26th ave s, Federal Way WA  98003<p/>Lost Date: 2025-07-03<p/>",
K25-180780,A731849,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731849,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ennie,Cat,12 WEEKS,Female,Domestic Shorthair,Gray / White,"Jul 11, 2025",Received on,24500 block of  RUSSELL RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731849,Image Copyright HLP Inc. 2025,"Received on: 2025-07-11<p/> Found Near: 24500 block of  RUSSELL RD S<p/> Description: Gray / White Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180775,A731841,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964956,LOST,Frankie,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 09, 2025",Date Lost,116th  Ave NE & NE 60th St,Kirkland,,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964956,Image Copyright HLP Inc. 2025,"Description: Female neutered calico<p/>Age: Under 1 year<p/>Location Lost: 116th ave NE and 60th St, Kirkland WA  98033<p/>Lost Date: 2025-07-09<p/>",
K25-181124,A710740,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,,Cinnamon,Deceased Cat,1 YEAR 4 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,"Jul 21, 2025",Received on,4200 block of  S 172ND ST,SEATAC,WA,98188,SEATAC,,,,Image Copyright HLP Inc. 2025,Received on: 2025-07-21<p/> Found Near: 4200 block of  S 172ND ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR 4 MONTHS<p/>,
K25-180481,A731439,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960932,LOST,Zorro,Dog,Over 1 year<p/>,Male,Alaskan Husky,Black,"Jul 03, 2025",Date Lost,263RD  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960932,Image Copyright HLP Inc. 2025,"Description: Long haired black white and some brown is friendly to anyone  <p/>Age: Over 1 year<p/>Location Lost: 263rd St, Kent WA  98032<p/>Lost Date: 2025-07-03<p/>",
K25-181540,A733164,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2973316,In Public Home,,Dog,Unknown<p/>,Male,Pit Bull,Unknown,"Aug 01, 2025",Date Found,SE  RENTON MAPLE VALLEY HIGHWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2973316,Image Copyright HLP Inc. 2025,"Description: Good sam Found on side of the road while driving to work. SE Renton Maple Valley highway. Currently housed at Seattle Humane<p/>Age: Unknown<p/>Found Near: SE Renton Maple Valley Highway, Kent WA  98042<p/>Found Date: 2025-08-01<p/>",
K25-181511,A733131,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A733131,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rosie,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Brn Tabby,"Aug 01, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733131,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Rosie and I am available for adoption!<p/><p/>I was brought in with my friend, Ralphie, and we are bonded. We love being around each other so much that we need to go to the same home together!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-180920,A732108,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966788,LOST,Gus,Cat,,Male,Tonkinese,White,"Jul 14, 2025",Date Lost,39th  Ave SW & SW Stevens St,Seattle,,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966788,Image Copyright HLP Inc. 2025,,
K25-181463,A733036,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733036,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Emmett,Dog,2 YEARS,Neutered Male,German Shepherd / Mix,Tan / Black,"Jul 31, 2025",Received on,13300 block of  56TH AVE S,TUKWILA,WA,98178,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733036,Image Copyright HLP Inc. 2025,"Received on: 2025-07-31<p/> Found Near: 13300 block of  56TH AVE S<p/> Description: Tan / Black Neutered Male German Shepherd / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K25-181013,A732227,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967647,LOST,Nigel,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Black,"Jul 14, 2025",Date Lost,44TH  AVE S AND S HUDSON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967647,Image Copyright HLP Inc. 2025,"Description: black and white cat with tuxedo markings (white belly and feet and a bit of white on face, and otherwise black). She has one ear (right I think) that is clipped slightly as she was part of feral cat program in King county. she is neutered and about 6 years old. yellowish eyes. white whiskers. If my paperwork is correct her microchip form RASCK is 84310555<p/>Age: Over 1 year<p/>Location Lost: 44th Ave S and S Hudson, Seattle WA  98118<p/>Lost Date: 2025-07-14<p/>",
K25-181548,A733179,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,9 WEEKS,Male,Domestic Mediumhair,Black,"Aug 02, 2025",Received on,23900 block of  RUSSELL RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733179,Image Copyright HLP Inc. 2025,Received on: 2025-08-02<p/> Found Near: 23900 block of  RUSSELL RD S<p/> Description: Black Male Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-181622,A733333,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733333,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Female,Domestic Mediumhair,Gray / White,"Aug 04, 2025",Received on,17800 block of  43RD AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733333,Image Copyright HLP Inc. 2025,"Received on: 2025-08-04<p/> Found Near: 17800 block of  43RD AVE S<p/> Description: Gray / White Female Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180586,A731619,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2963156,LOST,Tisha (teesh,Bird,Over 1 year<p/>,Unknown,,Unknown,"Jul 06, 2025",Date Lost,SE  20th St & 137th Pl SE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2963156,Image Copyright HLP Inc. 2025,"Description: Yellow cockatiel with grey spots on shoulders/wings. She can sound a bit like a robin from a distance, but she's distinctly sharper and without sing-song.<p/>Age: Over 1 year<p/>Location Lost: SE 20th and 137 Pl SE, Bellevue WA  98005<p/>Lost Date: 2025-07-06<p/>",
K25-181068,A732293,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732293,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bastian,Cat,11 WEEKS,Neutered Male,Domestic Shorthair,Black,"Jul 19, 2025",Received on,21800 block of  SE GREEN VALLEY RD,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732293,Image Copyright HLP Inc. 2025,"Received on: 2025-07-19<p/> Found Near: 21800 block of  SE GREEN VALLEY RD<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 11 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181609,A733303,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2974221,In Public Home,,Dog,Over 1 year<p/>,Male,Yorkshire Terrier,Unknown,"Aug 01, 2025",Date Found,108th  Ave SE & SE 28th St,Beaux Arts,,98004,BEAUX ARTS,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2974221,Image Copyright HLP Inc. 2025,"Description: Male Yorkie was Found wandering streets, no leash or collar. Coat was very matted and dirty and he appears to have been neglected for some time. Has Lost significant amount of hair on his back and tail. Vet checked for microchip and he has none. Taking care of him until owner is located or new home Found. Please send proof of ownership if you believe he is yours!<p/>Age: Over 1 year<p/>Found Near: 108th Ave Se and SE 28th St, Bellevue WA  98004<p/>Found Date: 2025-08-01<p/>",
K25-181197,A732522,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Wool,Cat,11 WEEKS,Neutered Male,Domestic Shorthair,Brn Tabby,"Jul 23, 2025",Received on,800 block of  CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732522,Image Copyright HLP Inc. 2025,Received on: 2025-07-23<p/> Found Near: 800 block of  CENTRAL AVE S<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 11 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-181372,A732891,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2971821,LOST,Bella,Dog,Unknown<p/>,Female,Pomeranian,Unknown,"Jul 29, 2025",Date Lost,WOODMONT  ELEMENTARY SCHOOL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2971821,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Location Lost: Woodmont Elementary school, Seattle WA  98198<p/>Lost Date: 2025-07-29<p/>",
K25-180793,A731865,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965049,LOST,Hopscotch,Cat,Unknown<p/>,Female,Domestic Longhair,Unknown,"Jul 08, 2025",Date Lost,2400 block of  170TH PL SE,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965049,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Location Lost: 2425 170th pl se, Bellevue WA  98007<p/>Lost Date: 2025-07-08<p/>",
K25-181006,A732205,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967453,LOST,Karen,Cat,Over 1 year<p/>,Female,Domestic Shorthair,White,"Jul 09, 2025",Date Lost,14000 block of  SR 169,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967453,Image Copyright HLP Inc. 2025,"Description: KS SUMRST120 Very friendly 9 yo spayed female the goes out to my yard for a short visit, but comes inside for meals and to sleep at night.  Gray and white tabby.<p/>Age: Over 1 year<p/>Location Lost: 14014 169th Ave SE, Renton, Renton WA  98059<p/>Lost Date: 2025-07-09<p/>",
