Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A530910,OWNER SUR,07/26/2025,*GRIGIO,OTHER,2 YEARS,MED,GRAY,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530910&location=MONT,
A526572,OWNER SUR,07/26/2025,GINGER,OTHER,3 YEARS,MED,TAN,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526572&location=MONT,
A533855,OWNER SUR,07/27/2025,PB,OTHER,8 YEARS,MED,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533855&location=MONT,
A533639,OWNER SUR,07/21/2025,MIDNIGHT,DOG,2 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533639&location=MONT,
A448342,OWNER SUR,07/28/2025,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A527693,OWNER SUR,06/15/2025,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,
A531174,OWNER SUR,05/16/2025,MIA,CAT,1 YEAR 3 MONTHS,SMALL,TORTIE / TAB CALICO,DOMESTIC SH / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531174&location=MONT,
A531438,RETURN,06/12/2025,*BUFFY,DOG,1 YEAR 3 MONTHS,MED,BLACK / WHITE,ALASKAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531438&location=MONT,
A533519,OWNER SUR,07/18/2025,*PAW MCCATNEY,CAT,7 MONTHS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533519&location=MONT,
A533274,OWNER SUR,07/12/2025,LOLA,CAT,1 YEAR 7 MONTHS,MED,GRAY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533274&location=MONT,
A533842,OWNER SUR,07/26/2025,NORMAN,OTHER,1 YEAR 7 MONTHS,LARGE,BLACK / WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533842&location=MONT,
A533520,OWNER SUR,07/18/2025,*CATPURRNICUS,CAT,7 MONTHS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533520&location=MONT,
A533840,OWNER SUR,07/26/2025,REMMY,OTHER,1 YEAR 7 MONTHS,LARGE,BROWN,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533840&location=MONT,
A528276,RETURN,07/14/2025,MATTHEW,DOG,1 YEAR 6 MONTHS,LARGE,TAN,ANATOL SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528276&location=MONT,
